Fold,Train_Acc,Test_Acc,Num_Trees,Num_Features
1,1.0000,0.9625,4,17
2,0.9953,0.9451,91,17
3,0.9953,0.9214,56,17
4,0.9962,1.0000,168,17
5,0.9934,0.8810,14,17
