,Feature,Importance
50,ENSMPUG00000003456_CLDN1,0.011847096
36,ENSMPUG00000012286_NLRP3,0.01159323
324,ENSMPUG00000016615_DNAJB2,0.010501866
291,ENSMPUG00000008080_VCAN,0.010229894
100,ENSMPUG00000001650_COLQ,0.008650641
90,ENSMPUG00000005128_EMILIN2,0.008482463
346,ENSMPUG00000001374_SLC19A3,0.008154432
92,ENSMPUG00000016744_CLEC4D,0.007748886
124,ENSMPUG00000010340_CCDC88A,0.007497643
280,ENSMPUG00000006199_CLEC2A,0.007302894
