,Feature,Importance
90,ENSMPUG00000005128_EMILIN2,0.3526178630656243
358,ENSMPUG00000007479_PRDM16,0.17704816207184618
1044,Ketoleucine,0.171764130168828
1079,L.Norleucine,0.14610555555555557
203,ENSMPUG00000002571_PFN2,0.08980263157894741
205,ENSMPUG00000017343_KBTBD12,0.03196721311475406
384,ENSMPUG00000002475_Unknown,0.030694444444444455
1084,L.Threonine,0.0
1083,L.Sorbose,0.0
1082,L.Serine,0.0
