Model,MeanAccuracy,StdDev
RandomForest,0.7466666666666667,0.1309792180292567
DecisionTree,0.7616666666666666,0.08812869377601526
LASSO,0.7216666666666667,0.174132771821453
TreeFARMS,0.9419871794871796,0.0398586937375363
